entry_time,entry_price,exit_time,exit_price,pnl
2025-12-14 18:05:00-05:00,25397.75,2025-12-14 23:10:00-05:00,25496.5,960.0
2025-12-15 03:00:00-05:00,25501.25,2025-12-15 03:05:00-05:00,25497.5,-130.0
2025-12-15 03:25:00-05:00,25506.5,2025-12-15 09:25:00-05:00,25666.5,3145.0
2025-12-16 03:15:00-05:00,25173.5,2025-12-16 08:25:00-05:00,25229.75,1070.0
2025-12-16 19:45:00-05:00,25311.0,2025-12-16 19:55:00-05:00,25304.75,-180.0
2025-12-17 00:15:00-05:00,25319.75,2025-12-17 00:20:00-05:00,25311.75,-215.0
2025-12-17 00:40:00-05:00,25347.0,2025-12-17 08:15:00-05:00,25422.5,1455.0
2025-12-18 00:45:00-05:00,24978.5,2025-12-18 01:10:00-05:00,24977.0,-85.0
2025-12-18 02:05:00-05:00,24997.25,2025-12-18 09:25:00-05:00,25279.5,5590.0
2025-12-22 00:40:00-05:00,25675.0,2025-12-22 09:25:00-05:00,25781.0,2065.0
2025-12-22 19:55:00-05:00,25722.25,2025-12-22 20:10:00-05:00,25715.0,-200.0
2025-12-23 03:15:00-05:00,25693.25,2025-12-23 06:15:00-05:00,25688.0,-160.0
2025-12-23 06:30:00-05:00,25700.25,2025-12-23 07:00:00-05:00,25683.75,-385.0
2025-12-24 04:20:00-05:00,25800.75,2025-12-24 05:00:00-05:00,25787.75,-315.0
2025-12-24 06:10:00-05:00,25799.25,2025-12-24 06:15:00-05:00,25794.5,-150.0
2025-12-26 00:10:00-05:00,25881.0,2025-12-26 00:35:00-05:00,25879.5,-85.0
2025-12-28 20:00:00-05:00,25878.25,2025-12-28 20:05:00-05:00,25876.75,-85.0
2025-12-30 00:45:00-05:00,25742.5,2025-12-30 01:15:00-05:00,25727.25,-360.0
2025-12-30 03:10:00-05:00,25725.25,2025-12-30 06:05:00-05:00,25711.75,-325.0
2025-12-30 06:50:00-05:00,25733.0,2025-12-30 07:30:00-05:00,25719.25,-330.0
2025-12-31 06:40:00-05:00,25605.25,2025-12-31 09:25:00-05:00,25678.5,1410.0
2026-01-01 18:50:00-05:00,25489.5,2026-01-01 19:05:00-05:00,25480.0,-245.0
2026-01-01 19:25:00-05:00,25505.25,2026-01-02 07:05:00-05:00,25694.75,3735.0
2026-01-04 18:05:00-05:00,25426.5,2026-01-05 02:40:00-05:00,25464.25,700.0
2026-01-05 02:55:00-05:00,25478.0,2026-01-05 08:20:00-05:00,25527.25,930.0
2026-01-08 02:25:00-05:00,25758.5,2026-01-08 09:25:00-05:00,25785.5,485.0
2026-01-08 16:35:00-05:00,25725.25,2026-01-08 18:20:00-05:00,25699.25,-575.0
2026-01-09 00:00:00-05:00,25678.25,2026-01-09 00:30:00-05:00,25673.5,-150.0
2026-01-09 03:05:00-05:00,25692.0,2026-01-09 03:45:00-05:00,25671.0,-475.0
2026-01-09 04:20:00-05:00,25685.0,2026-01-09 07:30:00-05:00,25722.75,700.0
2026-01-12 02:10:00-05:00,25735.25,2026-01-12 02:15:00-05:00,25725.0,-260.0
2026-01-12 06:15:00-05:00,25714.5,2026-01-12 09:25:00-05:00,25746.0,575.0
2026-01-13 00:25:00-05:00,25905.25,2026-01-13 05:05:00-05:00,25892.25,-315.0
2026-01-13 16:00:00-05:00,25918.75,2026-01-13 18:15:00-05:00,25892.75,-575.0
2026-01-13 19:05:00-05:00,25906.75,2026-01-13 20:45:00-05:00,25885.0,-490.0
2026-01-15 00:05:00-05:00,25604.75,2026-01-15 09:25:00-05:00,25924.5,6340.0
2026-01-15 19:50:00-05:00,25759.5,2026-01-15 20:20:00-05:00,25754.75,-150.0
2026-01-19 19:40:00-05:00,25399.5,2026-01-19 23:55:00-05:00,25381.0,-425.0
